region,province,name,tc,cres,csor,istat,area,pop,alt,isle,sea,pden,wden,urb,fee,d_fee,sample,organic,paper,glass,wood,metal,plastic,raee,texile,other,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill,gdp,proads,wage,finance
Emilia_Romagna,Ferrara,Comacchio,501.5233514972164,128.99321639428078,66.56960562236408,37913.19171252688,283.26657088705474,22066.28354294956,1.0001980981169698,-0.0014074279469260462,1.001791172815416,72.95627484946993,116286.47327161142,1.9999903391777236,PAYT,0.9976848541117941,1.0011546593137302,22.247740884073266,4.382862180276994,3.5878689975666407,2.2758855778387472,0.4596492395853445,1.1501847308671194,0.34615189801906304,0.11396525464959159,3.1961068408232713,20268385.94183401,13404209.318952959,33664996.89354908,60.06468597436056,3.0031109759949106,282.65807295190865,33.06722751525934,15.187984396620616,7.272880888504031,4.359613186810379,9.439096929264196,7.491067315159163
Emilia_Romagna,Ferrara,Lagosanto,416.18050548179497,102.98877380654777,60.34450590703613,44253.21369990388,217.24964354529163,19496.429246207088,0.9614487627652221,-0.003103119386062799,0.9025445143104138,89.89917385856232,97528.63936580895,2.238719202034325,PAYT,0.9258773044637005,0.9327037726557967,24.486085425723086,5.830985440831752,4.683594006513041,1.8869635398823499,0.4966584097152408,2.312331590185278,0.5692006268938588,0.24256134884834132,5.748990969577152,15355373.836984148,10024437.818143833,25387542.48848564,63.47798929254562,2.8131065383221756,230.2993282106629,31.138941223738485,17.382922837138693,7.286880331432401,4.360904970221036,9.394137059856476,7.505486741375386
Emilia_Romagna,Ferrara,Goro,359.8744696436419,86.75499328583683,59.98138129678322,47398.343957338955,170.63646344708494,17920.14805643284,0.9586004279401739,-0.0015241551143990542,0.8327751947207108,125.8875992848361,99040.70096469384,2.382864607353482,PAYT,0.8445783309801396,0.8596167715977348,25.92300163533958,6.9154294333815525,5.671322217302366,1.717288335825709,0.5598498807787456,3.2504700897522385,0.713543777530532,0.3377243092110726,7.359917612749302,12002856.489859376,7557291.074413942,19573485.748903304,66.2254416488936,2.68013675698356,191.8187700046353,28.553629693842208,18.642222375946307,7.308100231953645,4.405498800884848,9.370739125760512,7.52734323891228
Emilia_Romagna,Ferrara,Mesola,308.0340633196892,72.07715432154843,60.18917585161289,49951.51416376733,127.17609655999834,16333.046289566662,0.9646888399858053,0.00024150507523013152,0.7694777768551206,162.70640053103867,102975.08412870759,2.512809641387578,PAYT,0.7631661519789126,0.7882503904114682,27.262153917103376,7.9409987423841715,6.627441602032391,1.5850329497840507,0.6295171068237004,4.149848092390511,0.8460444760551683,0.4260724786704254,8.810184108119675,8865209.03746987,5219344.6412910735,14100940.555011626,68.82671225962898,2.5606936908166062,154.99916402969853,25.918243885210607,19.72827802193056,7.329644526268396,4.459040390879865,9.35084410773299,7.549533862056478
Puglia,Barletta-Andria-Trani,Margherita di Savoia,274.1051004322336,63.51187470782791,63.34530745444814,50351.7568705532,96.13188442968719,15094.70380850876,0.9993934894708524,0.003263728678153488,0.7279884996046253,207.2630580031868,117984.09427596552,2.5846200236658996,STANDARD,0.6786440254852943,0.7191338523512906,28.147093744908982,8.735335545457012,7.486652390250336,1.5945248823154006,0.7194447849771299,4.900284583078653,0.9305131759343889,0.4906468088208065,9.645848515238965,6658034.309006137,3439587.082448305,10109649.293857675,70.92195066783816,2.4857594054506413,126.07306721558105,22.989054740830408,20.176679164490768,7.3540692161266055,4.5431034571793045,9.34478401310834,7.574691292610437
Emilia_Romagna,Ferrara,Jolanda di Savoia,257.4021969514286,60.86613824214021,68.7691700710186,48561.5499007427,77.56080377063206,14061.281688436778,1.0663824677924927,0.006671872348769479,0.7100735922170778,256.052186088931,142336.12371249628,2.600105936397969,PAYT,0.593533951430847,0.6568845947559729,28.61280839788978,9.299786948737378,8.22632124487322,1.7442019098096904,0.8310406818508224,5.494846478120417,0.9692360192159264,0.5300260664873631,9.860198720555102,5345217.151372319,2217959.110652392,7563573.891849743,72.43897682490558,2.4611033685659236,104.59601408803516,19.88726211583744,19.959180563180382,7.379984230290399,4.658315001262095,9.352696869676771,7.601383757199143
Emilia_Romagna,Ferrara,Tresignana,253.96346929502565,62.817003823044345,75.05114619940603,44936.60145888258,69.5501542247661,13076.078696452023,1.1648603648728233,0.008999256580593907,0.7139159278341135,303.399008156122,171813.24718751493,2.571086511476771,PAYT,0.5118203579249146,0.6075855875767671,28.76743309542004,9.673617900330061,8.831749900897854,2.005954648362704,0.9613590345360737,5.945794726683724,0.9734961410469015,0.5467041429845763,9.548277865740117,4745708.311299501,1484297.231107547,6214019.823922457,73.35629101666675,2.486209220140796,89.0609243055623,16.840796314092913,19.147253283239216,7.405053874789717,4.798727933168712,9.372563186402983,7.627205491033431
Lazio,Roma,Fiumicino,257.87736406256283,67.34202497231578,80.46905217292903,40137.85265222566,68.99414437694698,12094.942402825327,1.2894132379723586,0.008600243852541945,0.7345409180867748,343.4116737554884,201025.27573129456,2.515096903023519,STANDARD,0.4379719834654791,0.5774471045540841,28.74391009630479,9.918001088663319,9.296960271804657,2.332814489968439,1.1029163536735704,6.2752124804527,0.9599497850315066,0.5463451941275622,8.873071982418276,4615765.58157845,1145870.36358171,5729547.4626445845,73.69003353559157,2.5543599611890078,77.78584367453519,14.135625655925157,17.886072915927958,7.426624599538539,4.952290250366064,9.401012654000052,7.6494233375247065
Veneto,Venezia,Caorle,262.9875115279035,72.30056373430175,83.48237825111829,34988.38801983971,72.51775600402758,11275.482503945332,1.4306290615531698,0.004289352808223448,0.7648714424867682,372.2098159399028,225111.72402834464,2.450258018358864,STANDARD,0.37581340179392936,0.5711285895659266,28.650177859338584,10.095781733152084,9.624069883017597,2.670159519479199,1.2444333879124634,6.50429444855491,0.9460067400779943,0.5364254293031945,8.021454227306569,4735983.161888291,1132766.299707791,5827847.01921109,73.47706456485963,2.65347569597279,69.76053449191224,12.050812582449048,16.35923804063781,7.442374255236078,5.102535372885629,9.434242251011742,7.665645482893156
Liguria,Imperia,Riva Ligure,264.48252846032676,76.00539611534705,83.15486735641623,30308.670032818736,77.25818270899202,10980.515907507279,1.5765088329587376,-0.003956898745330879,0.7972054921254632,389.64731334539727,241318.3915186072,2.390935096060988,STANDARD,0.32758895987400016,0.5901952137540609,28.535770351450118,10.25298640349778,9.821116702463243,2.9675721219116062,1.3725525554281695,6.644928303471991,0.9455448445460529,0.524558242363738,7.162739472846539,4971935.510113405,1422314.2761679175,6359485.596989578,72.7601163007685,2.7676272399047077,65.10990565124042,10.794498928519124,14.754297433605696,7.45079031294091,5.231300358605592,9.468746992929331,7.674314022329121
